City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ust-nera,64.5667,143.2,17.26,38,93,0.12,RU,1718237352
84,west island,-12.1568,96.8225,25.99,94,100,4.12,CC,1718237653
85,huaraz,-9.5333,-77.5333,13.83,75,83,0.77,PE,1718237390
86,hamilton,39.1834,-84.5333,27.05,44,0,3.09,US,1718237185
87,luwuk,-0.9516,122.7875,24.78,87,100,2.69,ID,1718237657
88,korla,41.7597,86.1469,23.42,42,53,5.33,CN,1718237659
89,chul'man,56.8479,124.9104,18.49,45,29,0.89,RU,1718237577
90,pereval's'k,48.4378,38.8438,17.37,91,59,3.89,UA,1718237661
91,zhangatas,43.5667,69.75,17.18,48,0,3.65,KZ,1718237662
92,machhiwara,30.9147,76.1983,32.23,16,0,1.61,IN,1718237663
93,sungai raya,0.7,108.9,26.37,91,100,2.14,ID,1718237665
94,georgetown,5.4112,100.3354,28.96,82,20,2.06,MY,1718237666
95,paros,37.0833,25.15,29.77,50,28,2.57,GR,1718237386
96,albany,42.6001,-73.9662,19.3,66,100,1.68,US,1718237572
97,vorkuta,67.5,64.0,7.84,99,100,0.89,RU,1718237669
98,wailua homesteads,22.0669,-159.378,30.24,79,75,6.69,US,1718237670
99,weno,7.4515,151.8468,25.97,94,100,0.0,FM,1718237671
100,abra pampa,-22.7205,-65.697,8.51,14,12,0.17,AR,1718237672
101,lupane,-18.9315,27.807,7.9,62,0,2.12,ZW,1718237674
102,jamestown,42.097,-79.2353,22.77,40,0,1.54,US,1718237588
103,andergrove,-21.0833,149.1833,22.49,50,0,7.32,AU,1718237676
104,vilyuchinsk,52.9306,158.4028,11.15,85,99,2.1,RU,1718237531
105,whitehorse,60.7161,-135.0538,18.43,22,20,3.09,CA,1718237678
106,kone,-21.0595,164.8658,22.84,58,51,2.93,NC,1718237679
107,atafu village,-8.5421,-172.5159,29.12,74,89,4.18,TK,1718237680
108,yacuiba,-22.038,-63.6797,26.23,57,21,5.64,BO,1718237570
109,charters towers,-20.1,146.2667,21.19,34,0,5.93,AU,1718237683
110,ushuaia,-54.8,-68.3,-2.75,97,85,1.47,AR,1718237474
111,yuzhno-kurilsk,44.0306,145.8556,12.43,99,99,1.6,RU,1718237685
112,enewetak,11.3474,162.3373,28.14,82,37,9.36,MH,1718237686
113,sao felix do xingu,-6.6447,-51.995,23.78,59,8,1.21,BR,1718237687
114,thompson,55.7435,-97.8558,18.09,45,75,4.63,CA,1718237688
115,port alfred,-33.5906,26.891,15.04,75,0,5.5,ZA,1718237689
116,kegeyli shahar,42.7767,59.6078,22.05,21,73,4.33,UZ,1718237690
117,longyearbyen,78.2186,15.6401,2.91,75,75,7.72,SJ,1718237691
118,san antonio de pale,-1.4014,5.6325,25.18,77,100,3.7,GQ,1718237693
119,kailua-kona,19.6406,-155.9956,27.98,90,40,4.12,US,1718237694
120,esfarayen,37.0765,57.5101,20.81,33,94,3.34,IR,1718237695
121,lukolela,-1.0605,17.1821,21.53,64,10,0.88,CD,1718237696
122,rosetta,31.4044,30.4164,24.71,78,0,3.7,EG,1718237697
123,levuka,50.1834,-105.4011,20.9,36,43,7.29,CA,1718237698
124,lyantor,61.6195,72.1555,17.2,91,95,5.17,RU,1718237411
125,port elizabeth,-33.918,25.5701,15.73,74,0,4.12,ZA,1718237700
126,ouarzazat,30.9189,-6.8934,25.16,29,40,4.63,MA,1718237702
127,letlhakeng,-24.0944,25.0298,10.57,38,2,1.89,BW,1718237703
128,ritchie,-29.038,24.6028,3.56,46,0,1.72,ZA,1718237704
129,hilo,19.7297,-155.09,31.27,75,20,5.14,US,1718237706
130,la quinta,33.6634,-116.31,41.98,14,0,1.54,US,1718237707
131,saint-philippe,-21.3585,55.7679,23.77,83,100,8.58,RE,1718237708
132,old shinyanga,-3.55,33.4,18.61,61,6,2.73,TZ,1718237709
133,hami,42.8,93.45,29.05,19,26,6.78,CN,1718237710
134,chonchi,-42.6128,-73.8092,10.62,94,100,3.87,CL,1718237711
135,tsiombe,-25.3,45.4833,19.05,93,34,1.24,MG,1718237712
136,punta arenas,-53.15,-70.9167,0.06,86,40,9.26,CL,1718237421
137,klaksvik,62.2266,-6.589,8.51,80,46,1.62,FO,1718237715
138,port lincoln,-34.7333,135.8667,13.8,83,100,4.64,AU,1718237716
139,mount gambier,-37.8333,140.7667,8.97,72,100,1.71,AU,1718237717
140,hammerfest,70.6634,23.6821,6.25,93,100,3.09,NO,1718237718
141,rawson,-43.3002,-65.1023,13.63,62,100,4.14,AR,1718237532
142,fale old settlement,-9.3852,-171.2468,28.87,75,65,4.64,TK,1718237721
143,itaituba,-4.2761,-55.9836,27.43,70,100,0.91,BR,1718237722
144,praia da vitoria,38.7333,-27.0667,22.14,78,75,3.21,PT,1718237724
145,formosa,-26.1775,-58.1781,23.31,73,0,0.89,AR,1718237726
146,pervari,37.9357,42.5493,21.79,47,0,2.54,TR,1718237730
147,minas de marcona,-15.2119,-75.1103,13.83,75,12,3.15,PE,1718237731
148,horta,38.5333,-28.6333,20.57,86,86,0.89,PT,1718237649
149,sitka,57.0531,-135.33,11.94,66,100,5.66,US,1718237733
150,hermanus,-34.4187,19.2345,13.87,82,0,1.82,ZA,1718237492
151,east london,-33.0153,27.9116,15.67,61,0,3.71,ZA,1718237735
152,pangai,-19.8,-174.35,28.06,83,75,6.17,TO,1718237736
153,acapulco de juarez,16.8634,-99.8901,29.9,70,100,3.09,MX,1718237526
154,invercargill,-46.4,168.35,6.68,91,100,2.05,NZ,1718237740
155,kyren,51.6828,102.1408,16.08,57,18,0.11,RU,1718237530
156,selfoss,63.9331,-20.9971,10.02,76,100,7.86,IS,1718237742
157,livermore,37.6819,-121.768,32.49,44,0,6.69,US,1718237745
158,broome,42.2506,-75.833,19.81,70,0,1.54,US,1718237746
159,zhangye,38.9342,100.4517,24.22,27,100,1.31,CN,1718237747
160,las varillas,-31.8721,-62.7195,19.62,72,88,3.38,AR,1718237748
161,smithers,54.7804,-127.1743,14.18,35,75,6.69,CA,1718237749
162,sabha,27.0377,14.4283,32.78,11,0,5.39,LY,1718237750
163,fort bragg,35.139,-79.006,28.91,59,75,2.57,US,1718237751
164,bechar,31.6167,-2.2167,28.18,23,0,6.69,DZ,1718237752
165,sakaiminato,35.55,133.2333,24.99,78,75,2.06,JP,1718237754
166,dhidhdhoo,6.8833,73.1,28.53,79,100,6.3,MV,1718237755
167,tolanaro,-25.0319,46.9987,19.04,94,75,5.14,MG,1718237756
168,new norfolk,-42.7826,147.0587,9.95,78,99,0.54,AU,1718237757
169,sinabang,2.4803,96.3801,26.62,82,100,1.5,ID,1718237758
170,kilju,40.9642,129.3278,24.51,58,32,1.93,KP,1718237759
171,dryden,49.7833,-92.7503,20.16,49,0,3.6,CA,1718237587
172,colby,39.3958,-101.0524,38.23,16,0,4.02,US,1718237761
173,remire-montjoly,4.9167,-52.2667,26.02,94,0,1.03,GF,1718237762
174,saipan,15.1355,145.701,31.39,74,40,5.14,MP,1718237764
175,ribeira grande,38.5167,-28.7,20.99,86,82,0.89,PT,1718237765
176,nuuk,64.1835,-51.7216,3.34,70,20,1.54,GL,1718237712
177,colac,-38.3333,143.5833,8.43,77,100,0.98,AU,1718237767
178,berriane,32.8265,3.7669,28.45,25,2,7.16,DZ,1718237768
179,old town,50.087,14.4202,13.67,74,0,2.57,CZ,1718237772
180,tobelo,1.7284,128.0095,27.51,80,100,2.26,ID,1718237773
181,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,90,75,4.47,RU,1718237774
182,kinik,39.0872,27.3833,28.93,26,86,1.45,TR,1718237775
183,prabumulih,-3.45,104.25,23.9,97,98,0.53,ID,1718237776
184,malango,-2.9627,119.9001,22.16,85,84,0.61,ID,1718237777
185,strelka,58.0728,93.0344,19.47,62,86,0.62,RU,1718237778
186,turtas,58.9417,69.1325,17.62,98,100,3.26,RU,1718237779
187,goure,13.9835,10.2704,30.79,38,14,3.19,NE,1718237780
188,badger,64.8,-147.5333,15.76,84,75,6.69,US,1718237782
189,faya-largeau,17.9257,19.1043,33.56,14,0,2.66,TD,1718237784
190,kurchatov,51.6601,35.6521,18.23,97,57,2.36,RU,1718237785
191,suozhen,36.9539,118.1047,34.0,32,18,6.74,CN,1718237786
192,westport,41.1415,-73.3579,22.19,67,20,3.6,US,1718237519
193,hithadhoo,-0.6,73.0833,28.28,73,75,2.19,MV,1718237791
194,la gi,10.6667,107.7833,27.78,78,86,4.32,VN,1718237793
195,dongdu,35.85,117.7,29.85,46,3,3.57,CN,1718237794
